"m.id";"o.id";"n.year_of_publication";"n.Erscheinungsort";"n.controversy";"n.type"
"02-0654";"02-0810";1559;"Magdeburg";"Synergistischer Streit";"author-opponent"
"02-0722";"02-0810";1550;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0654";"02-0810";1550;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0810";1550;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0810";1551;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0654";"02-0810";1552;"Magdeburg";"Majoristischer Streit";"author-opponent"
"02-0876";"02-0810";1551;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0810";1551;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0741";"02-0830";1564;"Magdeburg";"Magdeburger Streit";"author-opponent"
"02-0716";"02-0838";1553;"Magdeburg";"Schwenckfeld";"author-opponent"
"02-0879";"02-0838";1558;"Magdeburg";"allgemeiner Druck";"author-opponent"
"02-0716";"02-0838";1554;"Magdeburg";"Schwenckfeld";"author-opponent"
"02-0716";"02-0838";1553;"Magdeburg";"Schwenckfeld";"author-opponent"
"02-0876";"02-0848";1553;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0665";"02-0856";1551;"Magdeburg";"Widerstand gegen das Augsburger Interim / Antikatholisch";"author-opponent"
"02-0789";"02-0872";1558;"Magdeburg";"Osiandrischer Steit";"author-opponent"
"02-0716";"02-0872";1557;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0789";"02-0872";1557;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0789";"02-0872";1559;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0654";"02-0879";1564;"Magdeburg";"Allgemeiner Druck";"author-opponent"
"02-0654";"02-0886";1549;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0935";1555;"Magdeburg";"Schwenckfeld";"author-opponent"
"02-0936";"02-0935";1555;"Magdeburg";"Schwenckfeld";"author-opponent"
"02-0690";"02-0681";1549;"Mainz";"Widerstand gegen das Augsburger Interim";"author-opponent"
"02-0738";"02-0716";1552;"Mainz";"Widerstand gegen das Augsburger Interim / Antikatholisch";"author-opponent"
"02-0934";"02-0716";1555;"Mainz";"Adiaphoristischer Streit";"author-opponent"
"02-0811";"02-0716";1555;"Mainz";"Adiaphoristischer Streit";"author-opponent"
"02-0802";"02-0714";1574;"Mansfeld";"Allgemeiner Druck";"author-opponent"
"02-0749";"02-0785";1574;"Mansfeld";"Erbsündenstreit";"author-opponent"
"02-0845";"02-0785";1573;"Mansfeld";"Erbsündenstreit";"author-opponent"
"02-0845";"02-0820";1573;"Mansfeld";"Erbsündenstreit";"author-opponent"
"02-0733";"02-0733";1564;"Mühlhausen/Elsaß";"Abendmahlslehre und Christologie";"author-opponent"
"02-0840";"02-0733";1564;"Mühlhausen/Elsaß";"Abendmahlslehre und Christologie";"author-opponent"
"02-0733";"02-0840";1564;"Mühlhausen/Elsaß";"Abendmahlslehre und Christologie";"author-opponent"
"02-0840";"02-0840";1564;"Mühlhausen/Elsaß";"Abendmahlslehre und Christologie";"author-opponent"
"02-0716";"02-0852";1562;"Mühlhausen/Elsaß";"Synergistischer Streit";"author-opponent"
"02-0755";"02-0775";1562;"Mühlhausen/Elsaß";"Majoristischer Streit";"author-opponent"
"02-0716";"02-0775";1562;"Mühlhausen/Elsaß";"Majoristischer Streit";"author-opponent"
"02-0879";"02-0775";1562;"Mühlhausen/Elsaß";"Majoristischer Streit";"author-opponent"
"02-0791";"02-0775";1562;"Mühlhausen/Elsaß";"Majoristischer Streit";"author-opponent"
"02-0879";"02-0838";1562;"Mühlhausen/Elsaß";"Abendmahlslehre und Christologie / allgemeiner Druck";"author-opponent"
"02-0755";"02-0838";1562;"Mühlhausen/Elsaß";"Abendmahlslehre und Christologie / allgemeiner Druck";"author-opponent"
"02-0879";"02-0848";1562;"Mühlhausen/Elsaß";"Abendmahlslehre und Christologie / allgemeiner Druck";"author-opponent"
"02-0755";"02-0848";1562;"Mühlhausen/Elsaß";"Abendmahlslehre und Christologie / allgemeiner Druck";"author-opponent"
"02-0650";"02-0678";1556;"Neubrandenburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0650";"02-0681";1556;"Neubrandenburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0650";"02-0766";1556;"Neubrandenburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0665";"02-0841";1579;"Neustadt a.d. Hardt";"Abendmahlslehre und Christologie";"author-opponent"
"02-0741";"02-0644";1567;"Nürnberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0741";"02-0655";1579;"Nürnberg";"Diskussion FC";"author-opponent"
"02-0691";"02-0655";1579;"Nürnberg";"Diskussion FC";"author-opponent"
"02-0879";"02-0655";1579;"Nürnberg";"Diskussion FC";"author-opponent"
"02-0758";"02-0655";1579;"Nürnberg";"Diskussion FC";"author-opponent"
"02-0741";"02-0681";1567;"Nürnberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0716";"02-0720";1554;"Nürnberg";"Osiandrischer Streit";"author-opponent"
"02-0782";"02-0800";1552;"Nürnberg";"Osiandrischer Streit";"author-opponent"
"02-0848";"02-0800";1553;"Nürnberg";"Osiandrischer Streit";"author-opponent"
"02-0827";"02-0800";1551;"Nürnberg";"Osiandrischer Streit";"author-opponent"
"02-0827";"02-0800";1555;"Nürnberg";"Osiandrischer Streit";"author-opponent"
"02-0829";"02-0800";1555;"Nürnberg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0800";1554;"Nürnberg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0838";1557;"Nürnberg";"Schwenckfeld";"author-opponent"
"02-0716";"02-0838";1556;"Nürnberg";"Schwenckfeld";"author-opponent"
"02-0716";"02-0838";1555;"Nürnberg";"Schwenckfeld";"author-opponent"
"02-0716";"02-0838";1555;"Nürnberg";"Schwenckfeld";"author-opponent"
"02-0791";"02-0595";1565;"Oberursel/Taunus";"Abendmahlslehre und Christologie";"author-opponent"
"02-0716";"02-0879";1572;"Oberursel/Taunus";"Erbsündenstreit";"author-opponent"
"02-0716";"02-0879";1572;"Oberursel/Taunus";"Erbsündenstreit";"author-opponent"
"02-0845";"02-0655";1576;"Oberursel/Taunus";"Erbsündenstreit";"author-opponent"
"02-0716";"02-0655";1573;"Oberursel/Taunus";"Erbsündenstreit";"author-opponent"
"02-0716";"02-0666";1566;"Oberursel/Taunus";"Abendmahlslehre und Christologie";"author-opponent"
"02-0716";"02-0681";1567;"Oberursel/Taunus";"Abendmahlslehre und Christologie";"author-opponent"
"02-0876";"02-0681";1557;"Oberursel/Taunus";"Abendmahlslehre und Christologie";"author-opponent"
"02-0876";"02-0681";1558;"Oberursel/Taunus";"Abendmahlslehre und Christologie";"author-opponent"
"02-0876";"02-0681";1555;"Oberursel/Taunus";"Abendmahlslehre und Christologie";"author-opponent"
"02-0757";"02-0733";1565;"Oberursel/Taunus";"Abendmahlslehre und Christologie";"author-opponent"
"02-0716";"02-0741";1573;"Oberursel/Taunus";"Erbsündenstreit";"author-opponent"
"02-0876";"02-0766";1557;"Oberursel/Taunus";"Abendmahlslehre und Christologie";"author-opponent"
"02-0716";"02-0767";1568;"Oberursel/Taunus";"Synergistischer Streit";"author-opponent"
"02-0716";"02-0791";1572;"Oberursel/Taunus";"Erbsündenstreit";"author-opponent"
"02-0716";"02-0798";1564;"Oberursel/Taunus";"Abendmahlslehre und Christologie; Schwenckfeld";"author-opponent"
"02-0876";"02-0817";1555;"Oberursel/Taunus";"Abendmahlslehre und Christologie";"author-opponent"
"02-0716";"02-0852";1567;"Oberursel/Taunus";"Abendmahlslehre und Christologie";"author-opponent"
"02-0722";"02-0647";1554;"Regensburg";"allgemeiner Druck";"author-opponent"
"02-0722";"02-0681";1560;"Regensburg";"Allgemeiner Druck / Synergistischer Streit / Majoristischer Streit / Abendmahlslehre und Christologie / Adiaphoristischer Streit";"author-opponent"
"02-0876";"02-0681";1558;"Regensburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0722";"02-0742";1562;"Regensburg";"Antikatholisch";"author-opponent"
"02-0658";"02-0749";1575;"Regensburg";"Erbsündenstreit";"author-opponent"
"02-0722";"02-0775";1562;"Regensburg";"Majoristischer Streit";"author-opponent"
"02-0716";"02-0775";1562;"Regensburg";"Majoristischer Streit";"author-opponent"
"02-0722";"02-0775";1562;"Regensburg";" Adiaphoristischer Streit / allgemeiner Druck";"author-opponent"
"02-0722";"02-0775";1554;"Regensburg";"allgemeiner Druck";"author-opponent"
"02-0722";"02-0775";1560;"Regensburg";"Allgemeiner Druck / Synergistischer Streit / Majoristischer Streit / Abendmahlslehre und Christologie / Adiaphoristischer Streit";"author-opponent"
"02-0873";"02-0775";1562;"Regensburg";"Majoristischer Streit";"author-opponent"
"02-0722";"02-0775";1568;"Regensburg";"Majoristischer Streit";"author-opponent"
"02-0873";"02-0775";1568;"Regensburg";"Majoristischer Streit";"author-opponent"
"02-0722";"02-0778";1562;"Regensburg";" Adiaphoristischer Streit / allgemeiner Druck";"author-opponent"
"02-0722";"02-0782";1562;"Regensburg";" Adiaphoristischer Streit / allgemeiner Druck";"author-opponent"
"02-0722";"02-0782";1560;"Regensburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0782";"02-0782";1560;"Regensburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0722";"02-0782";1560;"Regensburg";"Allgemeiner Druck / Synergistischer Streit / Majoristischer Streit / Abendmahlslehre und Christologie / Adiaphoristischer Streit";"author-opponent"
"02-0722";"02-0800";1562;"Regensburg";" Adiaphoristischer Streit / allgemeiner Druck";"author-opponent"
"02-0722";"02-0800";1554;"Regensburg";"allgemeiner Druck";"author-opponent"
"02-0722";"02-0848";1561;"Regensburg";"Antikatholisch";"author-opponent"
"02-0826";"02-0848";1562;"Regensburg";"Antikatholisch";"author-opponent"
"02-0879";"02-0851";1562;"Regensburg";"Synergistischer Streit";"author-opponent"
"02-0716";"02-0851";1562;"Regensburg";"Synergistischer Streit";"author-opponent"
"02-0716";"02-0852";1563;"Regensburg";"Synergistischer Streit";"author-opponent"
"02-0716";"02-0852";1563;"Regensburg";"Synergistischer Streit";"author-opponent"
"02-0716";"02-0862";1563;"Regensburg";"Abendmahlslehre und Christologie; Schwenckfeld";"author-opponent"
"02-0779";"02-0890";1575;"Regensburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0721";"02-0975";1564;"Regensburg";"Allgemeiner Druck";"author-opponent"
"02-0483";"02-0800";1554;"Rostock";"Osiandrischer Streit";"author-opponent"
"02-0390";"02-0354";1579;"s.l.";"Diskussion FC";"author-opponent"
"02-0650";"02-0647";1548;"s.l.";"Widerstand gegen das Augsburger Interim";"author-opponent"
"02-0650";"02-0647";1548;"s.l.";"Widerstand gegen das Augsburger Interim";"author-opponent"
"02-0716";"02-0655";1574;"s.l.";"Erbsündenstreit";"author-opponent"
"02-0961";"02-0655";1574;"s.l.";"Erbsündenstreit";"author-opponent"
"02-0481";"02-0655";1578;"s.l.";"Diskussion FC";"author-opponent"
"02-0802";"02-0655";1578;"s.l.";"Diskussion FC";"author-opponent"
"02-0999";"02-0655";1578;"s.l.";"Diskussion FC";"author-opponent"
"02-0802";"02-0655";1578;"s.l.";"Diskussion FC";"author-opponent"
"02-0802";"02-0685";1578;"s.l.";"Diskussion FC";"author-opponent"
"02-0854";"02-0714";1569;"s.l.";"Antinomistischer Streit";"author-opponent"
"02-0838";"02-0716";1559;"s.l.";"Schwenckfeld";"author-opponent"
"02-0716";"02-0720";1555;"s.l.";"Osiandrischer Streit";"author-opponent"
"02-0838";"02-0722";1562;"s.l.";"Schwenckfeld";"author-opponent"
"02-0802";"02-0767";1568;"s.l.";"Synergistischer Streit / Erbsündenstreit";"author-opponent"
"02-0971";"02-0775";1569;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0701";"02-0775";1569;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0879";"02-0775";1568;"s.l.";"Majoristischer Streit";"author-opponent"
"02-0879";"02-0775";1563;"s.l.";"Majoristischer Streit";"author-opponent"
"02-0845";"02-0785";1575;"s.l.";"Erbsündenstreit";"author-opponent"
"02-0789";"02-0789";1551;"s.l.";"Osiandrischer Streit";"author-opponent"
"02-0800";"02-0789";1551;"s.l.";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0800";1555;"s.l.";"Osiandrischer Streit";"author-opponent"
"02-0924";"02-0800";1552;"s.l.";"Osiandrischer Streit";"author-opponent"
"02-0706";"02-0800";1552;"s.l.";"Osiandrischer Streit";"author-opponent"
"02-0676";"02-0800";1552;"s.l.";"Osiandrischer Streit";"author-opponent"
"02-0789";"02-0800";1551;"s.l.";"Osiandrischer Streit";"author-opponent"
"02-0800";"02-0800";1551;"s.l.";"Osiandrischer Streit";"author-opponent"
"02-0758";"02-0851";1564;"s.l.";"Synergistischer Streit";"author-opponent"
"02-0758";"02-0852";1564;"s.l.";"Synergistischer Streit";"author-opponent"
"02-0876";"02-0766";1557;"Straßburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0814";"02-0811";1557;"Straßburg";"Antikatholisch";"author-opponent"
"02-0814";"02-0811";1557;"Straßburg";"Widerstand gegen das Augsburger Interim / Antikatholisch";"author-opponent"
"02-0716";"02-0838";1553;"Straßburg";"Schwenckfeld";"author-opponent"
"02-0511";"02-0838";1555;"Straßburg";"Schwenckfeld";"author-opponent"
"02-0814";"02-0864";1557;"Straßburg";"Widerstand gegen das Augsburger Interim / Antikatholisch";"author-opponent"
"02-0866";"02-0228";1559;"Tübingen";"Antikatholisch";"author-opponent"
"02-0780";"02-0276";1578;"Tübingen";"Antikatholisch";"author-opponent"
"02-0702";"02-0508";1566;"Tübingen";"Abendmahlslehre und Christologie";"author-opponent"
"02-0655";"02-0512";1565;"Tübingen";"Abendmahlslehre und Christologie";"author-opponent"
"02-0655";"02-0573";1564;"Tübingen";"Abendmahlslehre und Christologie";"author-opponent"
"02-0655";"02-0666";1565;"Tübingen";"Abendmahlslehre und Christologie";"author-opponent"
"02-0655";"02-0666";1565;"Tübingen";"Christologie";"author-opponent"
"02-0673";"02-0678";1564;"Tübingen";"Abendmahlslehre und Christologie";"author-opponent"
"02-0673";"02-0678";1561;"Tübingen";"Abendmahlslehre und Christologie";"author-opponent"
"02-0673";"02-0678";1562;"Tübingen";"Abendmahlslehre und Christologie";"author-opponent"
"02-0933";"02-0678";1561;"Tübingen";"Abendmahlslehre und Christologie";"author-opponent"
"02-0673";"02-0678";1561;"Tübingen";"Abendmahlslehre und Christologie";"author-opponent"
"02-0655";"02-0678";1575;"Tübingen";"Abendmahlslehre und Christologie";"author-opponent"
"02-0702";"02-0711";1568;"Tübingen";"Abendmahlslehre und Christologie";"author-opponent"
"02-0655";"02-0716";1574;"Tübingen";"Erbsündenstreit";"author-opponent"
"02-0655";"02-0716";1574;"Tübingen";"Erbsündenstreit";"author-opponent"
"02-0655";"02-0716";1574;"Tübingen";"Erbsündenstreit";"author-opponent"
"02-0780";"02-0838";1563;"Tübingen";"Schwenckfeld";"author-opponent"
"02-0702";"02-0843";1568;"Tübingen";"Abendmahlslehre und Christologie";"author-opponent"
"02-0655";"02-0848";1561;"Tübingen";"Antikatholisch / Wormser Gespräch";"author-opponent"
"02-0655";"02-0848";1562;"Tübingen";"Antikatholisch";"author-opponent"
"02-0682";"02-0859";1579;"Tübingen";"Diskussion FC";"author-opponent"
"02-0800";"02-0859";1579;"Tübingen";"Abendmahlslehre und Christologie";"author-opponent"
"02-0777";"02-0859";1579;"Tübingen";"Abendmahlslehre und Christologie";"author-opponent"
"02-0673";"02-0867";1562;"Tübingen";"Abendmahlslehre und Christologie";"author-opponent"
"02-0838";"02-0511";1556;"Ulm";"Schwenckfeld";"author-opponent"
"02-0838";"02-0673";1558;"Ulm";"Schwenckfeld / Osiandrischer Streit";"author-opponent"
"02-0838";"02-0681";1561;"Ulm";"Schwenckfeld";"author-opponent"
"02-0838";"02-0716";1555;"Ulm";"Schwenckfeld";"author-opponent"
"02-0838";"02-0716";1553;"Ulm";"Schwenckfeld";"author-opponent"
"02-0838";"02-0716";1555;"Ulm";"Schwenckfeld";"author-opponent"
"02-0838";"02-0716";1554;"Ulm";"Schwenckfeld; Osiandrischer Streit";"author-opponent"
"02-0662";"02-0716";1553;"Ulm";"Schwenckfeld";"author-opponent"
"02-0838";"02-0716";1555;"Ulm";"Schwenckfeld";"author-opponent"
"02-0838";"02-0721";1553;"Ulm";"Schwenckfeld";"author-opponent"
"02-0838";"02-0775";1553;"Ulm";"Schwenckfeld";"author-opponent"
"02-0838";"02-0782";1554;"Ulm";"Schwenckfeld";"author-opponent"
"02-0838";"02-0800";1558;"Ulm";"Schwenckfeld / Osiandrischer Streit";"author-opponent"
"02-0838";"02-0800";1554;"Ulm";"Schwenckfeld; Osiandrischer Streit";"author-opponent"
"02-0838";"02-0239";1558;"s.l.";"Schwenckfeld";"author-opponent"
"02-0838";"02-0239";1558;"s.l.";"Schwenckfeld";"author-opponent"
"02-0838";"02-0511";1556;"s.l.";"Schwenckfeld";"author-opponent"
"02-0838";"02-0644";1558;"s.l.";"Schwenckfeld";"author-opponent"
"02-0838";"02-1029";1558;"s.l.";"Schwenckfeld";"author-opponent"
"02-0838";"02-1029";1558;"s.l.";"Schwenckfeld";"author-opponent"
"02-0814";"02-0654";1562;"Weißenfels";"Adiaphoristischer Streit";"author-opponent"
"02-0814";"02-0654";1562;"Weißenfels";"Adiaphoristischer Streit";"author-opponent"
"02-0814";"02-0811";1562;"Weißenfels";"Adiaphoristischer Streit";"author-opponent"
"02-0848";"02-0782";1559;"Wien";"Allgemeiner Druck / Wormser Gespräch";"author-opponent"
"02-0782";"02-0652";1558;"Wittenberg";"Allgemeiner Druck / Antikatholisch";"author-opponent"
"02-0775";"02-0654";1558;"Wittenberg";"Majoristischer Streit";"author-opponent"
"02-0775";"02-0654";1552;"Wittenberg";"Majoristischer Streit";"author-opponent"
"02-0810";"02-0654";1558;"Wittenberg";"Synergistischer Streit";"author-opponent"
"02-0810";"02-0654";1558;"Wittenberg";"Allgemeiner Druck / Synergistischer Streit";"author-opponent"
"02-0784";"02-0654";1558;"Wittenberg";"Adiaphoristischer/Majoristischer Streit";"author-opponent"
"02-0775";"02-0654";1558;"Wittenberg";"Majoristischer Streit";"author-opponent"
"02-0512";"02-0655";1571;"Wittenberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0512";"02-0655";1571;"Wittenberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0609";"02-0657";1565;"Wittenberg";"Allgemeiner Druck";"author-opponent"
"02-0609";"02-0657";1566;"Wittenberg";"Allgemeiner Druck";"author-opponent"
"02-0809";"02-0672";1572;"Wittenberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0782";"02-0672";1572;"Wittenberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0809";"02-0685";1572;"Wittenberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0782";"02-0685";1572;"Wittenberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0775";"02-0701";1569;"Wittenberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0784";"02-0716";1557;"Wittenberg";"Adiaphoristischer/Majoristischer Streit";"author-opponent"
"02-0789";"02-0716";1570;"Wittenberg";"Erbsündenstreit";"author-opponent"
"02-0784";"02-0716";1557;"Wittenberg";"Adiaphoristischer/Majoristischer Streit";"author-opponent"
"02-0782";"02-0716";1558;"Wittenberg";"Allgemeiner Druck / Antikatholisch";"author-opponent"
"02-0585";"02-0716";1558;"Wittenberg";"Adiaphoristischer Streit / Schwenckfeld";"author-opponent"
"02-0775";"02-0716";1550;"Wittenberg";"Adiaphoristischer/Majoristischer Streit";"author-opponent"
"02-0784";"02-0716";1557;"Wittenberg";"Adiaphoristischer/Majoristischer Streit";"author-opponent"
"02-0784";"02-0716";1557;"Wittenberg";"Adiaphoristischer/Majoristischer Streit";"author-opponent"
"02-0782";"02-0716";1557;"Wittenberg";"Adiaphoristischer Streit";"author-opponent"
"02-0782";"02-0716";1549;"Wittenberg";"Adiaphoristischer Streit";"author-opponent"
"02-0782";"02-0716";1549;"Wittenberg";"Adiaphoristischer Streit";"author-opponent"
"02-0782";"02-0716";1549;"Wittenberg";"Adiaphoristischer Streit";"author-opponent"
"02-0782";"02-0716";1560;"Wittenberg";"Adiaphoristischer Streit";"author-opponent"
"02-0879";"02-0716";1558;"Wittenberg";"Allgemeiner Druck";"author-opponent"
"02-0782";"02-0716";1558;"Wittenberg";"Allgemeiner Druck / Antikatholisch";"author-opponent"
"02-0784";"02-0716";1558;"Wittenberg";"Adiaphoristischer/Majoristischer Streit";"author-opponent"
"02-0784";"02-0716";1558;"Wittenberg";"Adiaphoristischer/Majoristischer Streit";"author-opponent"
"02-0609";"02-0716";1558;"Wittenberg";"allgemeiner Druck";"author-opponent"
"02-0810";"02-0716";1559;"Wittenberg";"allgemeiner Druck / Majoristischer Streit";"author-opponent"
"02-0789";"02-0716";1570;"Wittenberg";"Erbsündenstreit";"author-opponent"
"02-0696";"02-0716";1571;"Wittenberg";"Erbsündenstreit";"author-opponent"
"02-0775";"02-0716";1567;"Wittenberg";"Majoristischer Streit";"author-opponent"
"02-0809";"02-0718";1572;"Wittenberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0782";"02-0718";1572;"Wittenberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0695";"02-0741";1571;"Wittenberg";"Majoristischer Streit";"author-opponent"
"02-0353";"02-0769";1557;"Wittenberg";"Adiaphoristischer Streit / Antinomistischer Streit / Osiandrischer Streit";"author-opponent"
"02-0879";"02-0773";1579;"Wittenberg";"allgemeiner Druck";"author-opponent"
"02-0879";"02-0784";1558;"Wittenberg";"Allgemeiner Druck";"author-opponent"
"02-0695";"02-0789";1570;"Wittenberg";"Majoristischer Streit";"author-opponent"
"02-0820";"02-0793";1564;"Wittenberg";"Antinomistischer Streit";"author-opponent"
"02-0820";"02-0793";1563;"Wittenberg";"Antinomistischer Streit";"author-opponent"
"02-0820";"02-0793";1562;"Wittenberg";"Antinomistischer Streit";"author-opponent"
"02-0820";"02-0793";1563;"Wittenberg";"Antinomistischer Streit";"author-opponent"
"02-0820";"02-0793";1563;"Wittenberg";"Antinomistischer Streit";"author-opponent"
"02-0782";"02-0800";1552;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0769";"02-0800";1552;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0800";1553;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0782";"02-0800";1556;"Wittenberg";"Allgemeiner Druck / Osiandrischer Streit";"author-opponent"
"02-0782";"02-0800";1558;"Wittenberg";"Allgemeiner Druck / Antikatholisch";"author-opponent"
"02-0353";"02-0800";1557;"Wittenberg";"Adiaphoristischer Streit / Antinomistischer Streit / Osiandrischer Streit";"author-opponent"
"02-0782";"02-0800";1550;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-1029";"02-0800";1552;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0800";1552;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0769";"02-0800";1552;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0769";"02-0800";1552;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0760";"02-0800";1552;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0814";"02-0800";1552;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0782";"02-0800";1552;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0741";"02-0800";1553;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0782";"02-0800";1553;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0782";"02-0800";1553;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0800";1552;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0782";"02-0800";1559;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"author-opponent"
"02-0653";"02-0800";1552;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0820";"02-0800";1558;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0782";"02-0800";1556;"Wittenberg";"Allgemeiner Druck / Osiandrischer Streit";"author-opponent"
"02-0829";"02-0800";1555;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0782";"02-0800";1555;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0791";"02-0800";1555;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0673";"02-0800";1553;"Wittenberg";"Osiandrischer Streit";"author-opponent"
"02-0353";"02-0816";1557;"Wittenberg";"Adiaphoristischer Streit / Antinomistischer Streit / Osiandrischer Streit";"author-opponent"
"02-0414";"02-0838";1556;"Wittenberg";"Schwenckfeld";"author-opponent"
"02-0782";"02-0838";1556;"Wittenberg";"Allgemeiner Druck / Osiandrischer Streit";"author-opponent"
"02-0782";"02-0838";1558;"Wittenberg";"Allgemeiner Druck / Antikatholisch";"author-opponent"
"02-0353";"02-0838";1557;"Wittenberg";"Adiaphoristischer Streit / Antinomistischer Streit / Osiandrischer Streit";"author-opponent"
"02-0585";"02-0838";1558;"Wittenberg";"Adiaphoristischer Streit / Schwenckfeld";"author-opponent"
"02-0782";"02-0838";1560;"Wittenberg";"stancaristischer Streit";"author-opponent"
"02-0782";"02-0838";1559;"Wittenberg";"Abendmahlslehre und Christologie / Allgemeiner Druck";"author-opponent"
"02-0782";"02-0838";1556;"Wittenberg";"Allgemeiner Druck / Osiandrischer Streit";"author-opponent"
"02-0726";"02-0838";1560;"Wittenberg";"Schwenckfeld";"author-opponent"
"02-0828";"02-0841";1571;"Wittenberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0828";"02-0841";1571;"Wittenberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0809";"02-0841";1572;"Wittenberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0782";"02-0841";1572;"Wittenberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0739";"02-0847";1555;"Wittenberg";"Stancaristischer Streit";"author-opponent"
"02-0782";"02-0847";1560;"Wittenberg";"stancaristischer Streit";"author-opponent"
"02-0775";"02-0848";1567;"Wittenberg";"Majoristischer Streit";"author-opponent"
"02-0782";"02-0848";1558;"Wittenberg";"Allgemeiner Druck / Antikatholisch";"author-opponent"
"02-0782";"02-0848";1558;"Wittenberg";"Allgemeiner Druck / Antikatholisch";"author-opponent"
"02-0782";"02-0868";1558;"Wittenberg";"Allgemeiner Druck / Antikatholisch";"author-opponent"
"02-0695";"02-0879";1571;"Wittenberg";"Antinomistischer Streit";"author-opponent"
"02-0879";"02-0879";1558;"Wittenberg";"Allgemeiner Druck";"author-opponent"
"02-0809";"02-0889";1572;"Wittenberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0782";"02-0889";1572;"Wittenberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0353";"02-0890";1557;"Wittenberg";"Adiaphoristischer Streit / Antinomistischer Streit / Osiandrischer Streit";"author-opponent"
"02-0775";"02-0971";1569;"Wittenberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0758";"02-0347";1579;"Wolfenbüttel";"Allgemeiner Druck";"author-opponent"
"02-0758";"02-0644";1575;"Wolfenbüttel";"Allgemeiner Druck";"author-opponent"
"02-0841";"02-0666";1573;"Wolfenbüttel";"Abendmahlslehre und Christologie";"author-opponent"
