n.id,n.format,n.vd16_number,n.controversy,n.Erscheinungsort,n.year_of_publication
01-1512,8°,O 1494,nachschauen!!!,Magdeburg,1553
01-1699,4°,K 476,Obrigkeitliche Dokumente,Magdeburg,1561
01-0729,4°,M 5863,Osiandrischer Steit,Magdeburg,1558
01-0648,4°,F 1288,Osiandrischer Streit,Magdeburg,1553
01-0650,8°,B 7588,Osiandrischer Streit,Magdeburg,1553
01-0652,4°,B 7587,Osiandrischer Streit,Magdeburg,1553
01-0662,4°,M 5879,Osiandrischer Streit,Magdeburg,1554
01-0680,4°,F 1518,Osiandrischer Streit,Magdeburg,1554
01-0686,4°,M 5886,Osiandrischer Streit,Magdeburg,1555
01-0689,4°,M 5865,Osiandrischer Streit,Magdeburg,1555
01-0704,8°,F 1506,Osiandrischer Streit,Magdeburg,1555
01-0705,8°,F 1302,Osiandrischer Streit,Magdeburg,1555
01-0726,4°,ZV 11072,Osiandrischer Streit,Magdeburg,1557
01-0799,4°,M 5892,Osiandrischer Streit,Magdeburg,1559
01-0897,8°,F 1322,Osiandrischer Streit,Magdeburg,1552
01-0984,4°,F 1560,Osiandrischer Streit,Magdeburg,1552
01-1064,4°,R 3325,Osiandrischer Streit,Magdeburg,1552
01-1082,4°,R 1193,Osiandrischer Streit,Magdeburg,1553
01-1108,8°,M 1820,Osiandrischer Streit,Magdeburg,1556
01-1132,4°,F 1323,Osiandrischer Streit,Magdeburg,1552
01-1368,4°,F 1514,Osiandrischer Streit,Magdeburg,1552
01-1369,4°,G 3565,Osiandrischer Streit,Magdeburg,1552
01-1371,4°,A 2329,Osiandrischer Streit,Magdeburg,1552
01-1378,4°,F 1377,Osiandrischer Streit,Magdeburg,1552
01-1379,4°,W 867,Osiandrischer Streit,Magdeburg,1552
01-1380,k. A.,G 286,Osiandrischer Streit,Magdeburg,1552
01-1386,4°,O 1498,Osiandrischer Streit,Magdeburg,1552
01-1388,4°,F 1254,Osiandrischer Streit,Magdeburg,1552
01-1389,4°,F 1436,Osiandrischer Streit,Magdeburg,1552
01-1390,4°,F 1538,Osiandrischer Streit,Magdeburg,1552
01-1424,4°,F 1515,Osiandrischer Streit,Magdeburg,1552
01-1441,4°,L 3476,Osiandrischer Streit,Magdeburg,1552
01-1449,4°,F 1571,Osiandrischer Streit,Magdeburg,1552
01-1654,8°,ZV 5897,Osiandrischer Streit,Magdeburg,1555
01-2023,4°,ZV 10063,Osiandrischer Streit,Magdeburg,1553
01-1633,8°,F 1488,Prädestinatianischer Streit?,Magdeburg,1551
01-1963,4°,H 3939,Schmalkaldischer Krieg,Magdeburg,1547
01-0672,4°,F 1513,Schwenckfeld,Magdeburg,1554
01-0694,4°,W 3789,Schwenckfeld,Magdeburg,1555
01-0846,4°,F 1528,Schwenckfeld,Magdeburg,1553
01-1479,4°,  F 1541,Schwenckfeld,Magdeburg,1553
01-0591,4°,H 3169,Synergistischer Streit,Magdeburg,1562
01-0616,4°,W 2711,Synergistischer Streit,Magdeburg,1562
01-0792,4°,A 2339,Synergistischer Streit,Magdeburg,1559
01-0936,4°,H 3138,Synergistischer Streit,Magdeburg,1562
01-1501,4°,L 7214,Synergistischer Streit,Magdeburg,1563
01-0851,4°,P 4742,Widerstand gegen das Augsburger Interim,Magdeburg,1549
01-0854,4°,A 356,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-0856,4°,B 2267,Widerstand gegen das Augsburger Interim,Magdeburg,1552
01-0890,8°,D 954,Widerstand gegen das Augsburger Interim,Magdeburg,1549
01-0943,4°,K 2104,Widerstand gegen das Augsburger Interim,Magdeburg,1549
01-0945,4°,E 3849,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-0946,8,A 1528,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-0948,8°,P 2368,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-0952,8°,S 3616,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-0953,4°,M 129,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-0955,4°,D 2181,Widerstand gegen das Augsburger Interim,Magdeburg,1549
01-0982,4°,P 838,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-0998,4°,M 126,Widerstand gegen das Augsburger Interim,Magdeburg,1550
01-1246,4°,F 1440,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1247,4°,F 1439 / F 1440,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1248,4°,F 1438,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1251,4°,C 2379,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1252,4°,A 2325,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1255,4°,I 241,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1258,4°,O 990,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1259,4°,W 1627,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1260,4°,M 1887,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1263,4°,F 1544,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1264,4°,F 1543,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1265,4°,S 4203,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1266,8°,R 3141,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1273,4°,F 1406,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1275,4°,P 4740,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1276,4°,B 7514,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1277,4°,M 645,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1278,4°,M 128,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1281,4°,F 1405,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1284,4°,A 355,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1285,4°,O 991,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1287,4°,A 259,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1311,4°,A 360,Widerstand gegen das Augsburger Interim,Magdeburg,1549
01-1323,4°,F 1553,Widerstand gegen das Augsburger Interim,Magdeburg,1549
01-1327,4°,P 4741,Widerstand gegen das Augsburger Interim,Magdeburg,1549
01-1335,4°,O 992,Widerstand gegen das Augsburger Interim,Magdeburg,1549
01-1362,4°,M 127,Widerstand gegen das Augsburger Interim,Magdeburg,1550
01-1461,4°,F 1556,Widerstand gegen das Augsburger Interim,Magdeburg,1549
01-1706,4°,A 361,Widerstand gegen das Augsburger Interim,Magdeburg,1549
01-1729,4°,F 1977,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1748,4°,R 733,Widerstand gegen das Augsburger Interim,Magdeburg,1551
01-1845,4°,A 359,Widerstand gegen das Augsburger Interim,Magdeburg,1549
01-1846,4°,F 1552,Widerstand gegen das Augsburger Interim,Magdeburg,1549
01-1848,4°,F 1554,Widerstand gegen das Augsburger Interim,Magdeburg,1549
01-1856,4°,F 1437,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1861,4°,A 357,Widerstand gegen das Augsburger Interim,Magdeburg,1549
01-1862,4°,A 358,Widerstand gegen das Augsburger Interim,Magdeburg,1549
01-1895,8°,S 3615,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-2048,4°,A 279,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-2049,4°,A 266,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-2050,4°,A 265,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-2062,4°,ZV 8584,Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1250,4°,M 4322,Widerstand gegen das Augsburger Interim / Adiaphoristischer Streit,Magdeburg,1548
01-1253,4°,M 4323,Widerstand gegen das Augsburger Interim / Adiaphoristischer Streit,Magdeburg,1548
01-1873,4°,B 8996,Widerstand gegen das Augsburger Interim / Adiaphoristischer Streit,Magdeburg,1551
01-2047,4°,M 4327,Widerstand gegen das Augsburger Interim / Adiaphoristischer Streit,Magdeburg,1548
01-0961,8°,F 1520,Widerstand gegen das Augsburger Interim / Antikatholisch,Magdeburg,1550
01-1004,8°,F 1319,Widerstand gegen das Augsburger Interim / Antikatholisch,Magdeburg,1549
01-1560,4°,F 1433,Widerstand gegen das Augsburger Interim / Antikatholisch,Magdeburg,1553
01-1636,4°,O 1135,Widerstand gegen das Augsburger Interim / Antikatholisch,Magdeburg,1550
01-1662,4°,F 1320,Widerstand gegen das Augsburger Interim / Antikatholisch,Magdeburg,1550
01-1663,4°,F 1567,Widerstand gegen das Augsburger Interim / Antikatholisch,Magdeburg,1550
01-1732,4°,F 1375,Widerstand gegen das Augsburger Interim / Antikatholisch,Magdeburg,1551
01-1865,8°,B 2489,Widerstand gegen das Augsburger Interim / Antikatholisch,Magdeburg,1551
01-1766,8°,C 1190,Widerstand gegen das Augsburger Interim/Adiaphoristischer Streit,Magdeburg,1552
01-1951,4°,P 4740,Widerstand gegen das Interim,Magdeburg,1548
01-1768,4°,V 547,Adiaphoristischer Streit,Mainz,1555
01-0889,8°,D 972,Obrigkeitliche Dokumente,Mainz,1548
01-0913,8°,D 975,Obrigkeitliche Dokumente,Mainz,1548
01-0915,2°,D 953,Obrigkeitliche Dokumente,Mainz,1548
01-1269,2°,D 946,obrigkeitliche Dokumente,Mainz,1548
01-1270,2°,R 797,obrigkeitliche Dokumente,Mainz,1548
01-1288,2°,D 1012,obrigkeitliche Dokumente,Mainz,1548
01-0981,8°,C 4335,Widerstand gegen das Augsburger Interim,Mainz,1549
01-1736,8°,H 1582,Widerstand gegen das Augsburger Interim / Antikatholisch,Mainz,1552
01-1932,4°,O 1497,Allgemeiner Druck,Mansfeld,1574
01-0064,4°,M 651,Erbsündenstreit,Mansfeld,1573
01-0065,4°,S 7657,Erbsündenstreit,Mansfeld,1573
01-0072,4°,S 1792,Erbsündenstreit,Mansfeld,1573
01-0081,4°,M 652,Erbsündenstreit,Mansfeld,1574
01-0086,4°,S 7645,Erbsündenstreit,Mansfeld,1574
01-0088,k. A.,A 43,Erbsündenstreit,Mansfeld,1574
01-0180,4°,S 7557,Erbsündenstreit,Mansfeld,1575
01-0549,4°,I 314,Erbsündenstreit,Mansfeld,1575
01-0994,4°,I 314,Erbsündenstreit,Mansfeld,1575
01-0995,4°,I 314,Erbsündenstreit,Mansfeld,1575
01-1542,4°,O 1487,Erbsündenstreit,Mansfeld,1574
01-1549,4°,S 7593,Erbsündenstreit,Mansfeld,1573
01-1551,4°,ZV 22324,Erbsündenstreit,Mansfeld,1574
01-1589,4°,S 7634,Erbsündenstreit,Mansfeld,1573
01-1667,4°,C 2393,Erbsündenstreit,Mansfeld,1573
01-2030,8°,K 2678,Erbsündenstreit,Mansfeld,1573
01-1072,8°,W 2303,Adiaphoristischer Streit?,Marburg,1551
01-1793,8°,H 440,Allgemeiner Druck,Marburg,1557
01-1959,k. A.,--,Abendmahlslehre und Christologie,Metz,1564
01-1701,4°,K 2819,Abendmahlslehre und Christologie,Mühlhausen,1574
01-1802,8°,R 2667,Abendmahlslehre und Christologie,Mühlhausen,1564
01-0073,4°,I 273,Abendmahlslehre und Christologie / Erbsündenstreit,Mühlhausen,1573
01-0377,4°,H 1564,Erbsündenstreit,Mühlhausen,1572
01-0391,4°,H 1561,Erbsündenstreit,Mühlhausen,1572
01-0617,4°,F 1262,Synergistischer Streit,Mühlhausen,1562
01-1920,4°,P 3811,Abendmahlslehre und Christologie,Mühlhausen (Thüringen),1572
01-0629,4°,W 2879,Abendmahlslehre und Christologie / allgemeiner Druck,Mühlhausen/Elsaß,1562
01-0592,4°,R 2245,Antinomistischer Streit,Mühlhausen/Elsaß,1562
01-1691,4°,R 2293,Magdeburger Streit,Mühlhausen/Elsaß,1563
01-0602,4°,B 8273,Majoristischer Streit,Mühlhausen/Elsaß,1562
01-1115,8°,S 8599,Allgemeiner Druck / Wormser Gespräch,Neisse,1558
01-1116,8°,S 8585,Wormser Gespräch,Neisse,1558
01-0707,4°,A 1562,Abendmahlslehre und Christologie,Neubrandenburg,1556
01-1974,12°,ZV 14265,Schwenckfeld,Neuburg,1560
01-0165,8°,U 291,Abendmahlslehre und Christologie,Neustadt a.d. Hardt,1584
01-0242,4°,P 2094,Abendmahlslehre und Christologie,Neustadt a.d. Hardt,1578
01-0261,8°,S 5504,Abendmahlslehre und Christologie,Neustadt a.d. Hardt,1579
01-1235,4°,S 9597,Abendmahlslehre und Christologie,Neustadt a.d. Hardt,1584
01-1719,8°,T 1741,Abendmahlslehre und Christologie,Neustadt a.d. Hardt,1578
01-1928,8°,ZV 4551,Abemdmahlslehre und Christologie,Nürnberg,1561
01-0063,8°,M 1447,Abendmahlslehre und Christologie,Nürnberg,1572
01-0108,8°,H 3004,Abendmahlslehre und Christologie,Nürnberg,1567
01-0682,4°,W 2310,Abendmahlslehre und Christologie,Nürnberg,1554
01-0839,8°,H 3001,Abendmahlslehre und Christologie,Nürnberg,1560
01-0937,8°,ZV 7864,Abendmahlslehre und Christologie,Nürnberg,1567
01-1104,8°,L 4280,Abendmahlslehre und Christologie,Nürnberg,1556
01-1564,4°,L 3499,Abendmahlslehre und Christologie,Nürnberg,1561
01-1570,8°,W 2272,Abendmahlslehre und Christologie,Nürnberg,1557
01-0267,4°,H 3092,Diskussion FC,Nürnberg,1579
01-1484,4°,M 2189,Majoristischer Streit,Nürnberg,1570
01-0683,8°,F 1330,Osiandrischer Streit,Nürnberg,1554
01-0692,8°,H 3340,Osiandrischer Streit,Nürnberg,1555
01-0693,4°,R 3323,Osiandrischer Streit,Nürnberg,1555
01-0716,4°,M 1822,Osiandrischer Streit,Nürnberg,1556
01-1016,4°,R 3326,Osiandrischer Streit,Nürnberg,1551
01-1083,4°,S 8594,Osiandrischer Streit,Nürnberg,1553
01-1096,8°,H 3339,Osiandrischer Streit,Nürnberg,1555
01-1357,4°,L 4991,Osiandrischer Streit,Nürnberg,1551
01-2026,4°,M 2500,Osiandrischer Streit,Nürnberg,1552
01-0684,8°,F 1256,Schwenckfeld,Nürnberg,1555
01-0685,8°,F 1414,Schwenckfeld,Nürnberg,1555
01-0717,8°,F 1387,Schwenckfeld,Nürnberg,1556
01-1751,8°,F 1409,Schwenckfeld,Nürnberg,1557
01-0912,8°,M 5066,Abendmahlslehre und Christologie,Oberursel,1565
01-1041,4°,W 2270,Abendmahlslehre und Christologie,Oberursel,1557
01-1596,4°,F 1511,Abendmahlslehre und Christologie,Oberursel,1572
01-1599,8°,F 1451,Abendmahlslehre und Christologie,Oberursel,1574
01-1696,4°,K 739,Abendmahlslehre und Christologie,Oberursel,1566
01-1567,8°,M 5034,Allgemeiner Druck,Oberursel,1568
01-1605,4°,F 1534,Antikatholisch,Oberursel,1573
01-0639,4°,F 1298  / ZV 22424,Erbsündenstreit,Oberursel,1572
01-0843,4°,F 1299 / ZV 22424,Erbsündenstreit,Oberursel,1572
01-1330,4°,F 1501,Erbsündenstreit,Oberursel,1572
01-1615,4°,S 7588,Erbsündenstreit,Oberursel,1578
01-1608,4°,ZV 11901,Synergistischer Streit,Oberursel,1569
01-0016,8°,H 366,Abendmahlslehre und Christologie,Oberursel/Taunus,1571
01-0018,4°,A 4052,Abendmahlslehre und Christologie,Oberursel/Taunus,1571
01-0042,4°,O 1183,Abendmahlslehre und Christologie,Oberursel/Taunus,1572
01-0107,k. A.,H 4012,Abendmahlslehre und Christologie,Oberursel/Taunus,1568
01-0230,4°,S 7648,Abendmahlslehre und Christologie,Oberursel/Taunus,1578
01-0280,8°,F 1267,Abendmahlslehre und Christologie,Oberursel/Taunus,1566
01-0296,8°,F 1480,Abendmahlslehre und Christologie,Oberursel/Taunus,1567
01-0480,8°,T 1327,Abendmahlslehre und Christologie,Oberursel/Taunus,1564
01-0510,k. A.,A 1589,Abendmahlslehre und Christologie,Oberursel/Taunus,1563
01-0576,8°,B 2487,Abendmahlslehre und Christologie,Oberursel/Taunus,1561
01-0644,8°,ZV 11292,Abendmahlslehre und Christologie,Oberursel/Taunus,1562
01-0873,8°,W 2283,Abendmahlslehre und Christologie,Oberursel/Taunus,1557
01-1028,8°,W 2263,Abendmahlslehre und Christologie,Oberursel/Taunus,1555
01-1039,8°,E 913,Abendmahlslehre und Christologie,Oberursel/Taunus,1557
01-1058,8°,F 1340,Abendmahlslehre und Christologie,Oberursel/Taunus,1565
01-1123,8°,W 2264,Abendmahlslehre und Christologie,Oberursel/Taunus,1558
01-1129,8º,W 2269,Abendmahlslehre und Christologie,Oberursel/Taunus,1558
01-1234,8°,F 1395,Abendmahlslehre und Christologie,Oberursel/Taunus,1564
01-1241,8°,K 738,Abendmahlslehre und Christologie,Oberursel/Taunus,1565
01-0513,8°,F 1398,Abendmahlslehre und Christologie; Schwenckfeld,Oberursel/Taunus,1564
01-0156,8°,F 1279,Allgemeine Schrift,Oberursel/Taunus,1570
01-0185,4°,H 1563,allgemeiner Druck,Oberursel/Taunus,1575
01-1190,8°,S 10215,Allgemeiner Druck,Oberursel/Taunus,1561
01-0643,k. A.,F 1417,Antikatholisch,Oberursel/Taunus,1562
01-0032,8°,I 274,Erbsündenstreit,Oberursel/Taunus,1572
01-0055,4°,"O 414, F 1372",Erbsündenstreit,Oberursel/Taunus,1572
01-0068,4°,F 1246,Erbsündenstreit,Oberursel/Taunus,1573
01-0071,4°,F 1572,Erbsündenstreit,Oberursel/Taunus,1573
01-0074,4°,F 1549,Erbsündenstreit,Oberursel/Taunus,1573
01-0204,4°,S 7571,Erbsündenstreit,Oberursel/Taunus,1576
01-0220,4°,S 7713,Erbsündenstreit,Oberursel/Taunus,1577
01-0353,4°,F 1390,Erbsündenstreit,Oberursel/Taunus,1571
01-0376,8°,F 1252,Erbsündenstreit,Oberursel/Taunus,1572
01-0386,k. A.,F 1479,Erbsündenstreit,Oberursel/Taunus,1572
01-0390,k. A.,F 1312,Erbsündenstreit,Oberursel/Taunus,1572
01-0402,4°,F 1508,Erbsündenstreit,Oberursel/Taunus,1573
01-0403,4°,F 1500,Erbsündenstreit,Oberursel/Taunus,1573
01-0449,4°,P 5072,Erbsündenstreit,Oberursel/Taunus,1576
01-0120,4°,F 1537,Synergistischer Streit,Oberursel/Taunus,1568
01-1203,8°,W 2793,Synergistischer Streit,Oberursel/Taunus,1562
01-1206,8°,H 452,Synergistischer Streit?Erbsündenstreit?,Oberursel/Taunus,1562
01-1185,4°,--,Abendmahlslehre und Christologie,Paris,1561
01-1693,8°,A 2654,Abendmahlslehre und Christologie,Pforzheim,1559
01-1179,4°,D 2020,majoristischer Streit,Pforzheim,1561
01-0736,4°,S 5151,Wormser Gespräch,Pforzheim,1557
01-1817,4°,H 3726,Allgemeiner Druck,Regenburg,1568
01-0601,4°,G 279, Adiaphoristischer Streit / allgemeiner Druck,Regensburg,1562
01-0176,4°,M 1369,Abendmahlslehre und Christologie,Regensburg,1575
01-0217,4°,B 5437,Abendmahlslehre und Christologie,Regensburg,1577
01-0559,4°,V 2630,Abendmahlslehre und Christologie,Regensburg,1561
01-0631,8°,M 5877,Abendmahlslehre und Christologie,Regensburg,1562
01-0778,4°,W 2275,Abendmahlslehre und Christologie,Regensburg,1558
01-0824,4°,M 3541,Abendmahlslehre und Christologie,Regensburg,1560
01-1095,8°,A 4170,Abendmahlslehre und Christologie,Regensburg,1555
01-1148,4°,M 3533,Abendmahlslehre und Christologie,Regensburg,1560
01-1195,4°,F 1393,Abendmahlslehre und Christologie,Regensburg,1562
01-1200,4°,F 1394,Abendmahlslehre und Christologie,Regensburg,1562
01-1588,4°,L 4166,Abendmahlslehre und Christologie,Regensburg,1561
01-1933,4°,R 3041,Abendmahlslehre und Christologie,Regensburg,1564
01-0499,4°,F 1568,Abendmahlslehre und Christologie; Schwenckfeld,Regensburg,1563
01-0566,4°,G 250,Adiaphoristischer Streit,Regensburg,1561
01-0567,8°,A 2372,Adiaphoristischer Streit,Regensburg,1561
01-0735,4°,F 1272,Adiaphoristischer Streit,Regensburg,1556
01-0783,4°,G 290,Adiaphoristischer Streit,Regensburg,1559
01-0825,4°,G 263,Adiaphoristischer Streit,Regensburg,1560
01-0909,4°,G 289,Adiaphoristischer Streit,Regensburg,1559
01-1093,8°,S 9260,Adiaphoristischer Streit,Regensburg,1555
01-1712,4°,M 3686,Adiaphoristischer Streit,Regensburg,1553
01-1964,4°,G 309,Adiaphoristischer Streit,Regensburg,1553
01-0809,4°,G 295,Adiaphoristischer Streit / allgemeiner Druck,Regensburg,1560
01-1355,4°,G 313,Adiaphoristischer Streit?,Regensburg,1560
01-0491,8°,F 1289,Allgemeiner Druck,Regensburg,1563
01-0600,4°,H 3151,allgemeiner Druck,Regensburg,1562
01-0611,4°,K 2817,Allgemeiner Druck,Regensburg,1562
01-0681,4°,G 278,allgemeiner Druck,Regensburg,1554
01-0822,8°,G 288,Allgemeiner Druck,Regensburg,1560
01-1165,4°,G 273,Allgemeiner Druck,Regensburg,1560
01-1337,4°,V 2629,Allgemeiner Druck,Regensburg,1561
01-1435,4°,A 3145,Allgemeiner Druck,Regensburg,1564
01-1447,4°,G 270,Allgemeiner Druck,Regensburg,1559
01-1686,8°,H 3729,allgemeiner Druck,Regensburg,1569
01-1694,4°,K 2818,Allgemeiner Druck,Regensburg,1562
01-1786,4°,V 2628,Allgemeiner Druck,Regensburg,1561
01-1823,4°,H 3726,Allgemeiner Druck,Regensburg,1569
01-1949,4°,K 1983,Allgemeiner Druck,Regensburg,1566
01-0808,4°,G 299,Allgemeiner Druck / Synergistischer Streit / Majoristischer Streit / Abendmahlslehre und Christologie / Adiaphoristischer Streit,Regensburg,1560
01-0762,8°,G 312,Allgemeiner Druck / Wormser Gespräch,Regensburg,1558
01-0569,4°,G 308,Antikatholisch,Regensburg,1561
01-0608,4°,G 314,Antikatholisch,Regensburg,1562
01-0628,4°,R 3040,Antikatholisch,Regensburg,1562
01-1482,4°,F 1545,Antikatholisch,Regensburg,1563
01-1531,4°,A 3144,Antikatholisch,Regensburg,1563
01-1514,4°,O 1483,Antinomistischer Streit,Regensburg,1560
01-1940,8°,W 2738,Christologie,Regensburg,1563
01-0175,8°,H 2222,Erbsündenstreit,Regensburg,1575
01-0244,4°,D 667,Erbsündenstreit,Regensburg,1578
01-0275,8°,D 668,Erbsündenstreit,Regensburg,1579
01-1534,4°,W 2867,Erbsündenstreit,Regensburg,1575
01-1622,4°,R 541,Erbsündenstreit,Regensburg,1574
01-0112,4°,W 876,Majoristischer Streit,Regensburg,1568
01-0594,4°,W 880,Majoristischer Streit,Regensburg,1562
01-0941,8°,F 1467 / G 284,Majoristischer Streit,Regensburg,1562
01-0679,4°,L 6264,Osiandrischer Streit,Regensburg,1554
01-0015,8°,T 1924,Schwenckfeld,Regensburg,1571
01-0505,4°,F 1383,Synergistischer Streit,Regensburg,1563
01-0596,4°,F 1431,Synergistischer Streit,Regensburg,1562
01-0610,4°,F 1532,Synergistischer Streit,Regensburg,1562
01-0615,4°,F 1548,Synergistischer Streit,Regensburg,1562
01-1140,4°,G 272,Synergistischer Streit,Regensburg,1559
01-1159,4°,P 4687,Synergistischer Streit,Regensburg,1560
01-1775,4°,F 1384,Synergistischer Streit,Regensburg,1563
01-1800,4°,L 6675,Synergistischer Streit,Regensburg,1559
01-1930,4°,M 172,Synergistischer Streit,Regensburg,1566
01-2041,8°,O 1488,Synergistischer Streit,Regensburg,1561
01-1450,4°,G 271,synergistischer/Adiaphoristischer Streit,Regensburg,1559
01-0299,8°,C 2204,Abendmahlslehre und Christologie,Rostock,1568
01-0429,4°,F 2518,Abendmahlslehre und Christologie,Rostock,1575
01-0445,8°,G 3104,Abendmahlslehre und Christologie,Rostock,1576
01-0923,2°,--,Abendmahlslehre und Christologie,Rostock,1558
01-1492,8°,C 2588,Antinomistischer Streit,Rostock,1556
01-1950,k. A.,--,Christologie,Rostock,1579
01-1226,8°,W 2841,Majoristischer Streit,Rostock,1563
01-1088,8°,J 1168,Osiandrischer Streit,Rostock,1554
01-0408,8°,P 1019,Synergistischer Streit,Rostock,1574
01-1225,8°,P 1018,Synergistischer Streit?,Rostock,1563
01-0225,8°,F 1362,allgemeiner Druck,s.l,1577
01-0080,4°,W 3715,Abendmahlslehre und Christologie,s.l.,1571
01-0285,8°,S 5630,Abendmahlslehre und Christologie,s.l.,1566
01-0484,8°,A 2453,Abendmahlslehre und Christologie,s.l.,1564
01-1795,4°,W 3714,Abendmahlslehre und Christologie,s.l.,1571
01-1820,4°,K 2644,Abendmahlslehre und Christologie,s.l.,1571
01-1880,8°,ZV 25355,Abendmahlslehre und Christologie,s.l.,1569
01-1889,4°,ZV 11073,Abendmahlslehre und Christologie,s.l.,1571
01-1812,4°,vacat,Adiaphoristischer Streit / obrigkeitliche Dokumente,s.l.,1549
01-1666,4°,C 2399,Allgemeine Schrift,s.l.,1566
01-0135,4°,W 2504,Allgemeiner Druck,s.l.,1569
01-0578,8°,D 552,Allgemeiner Druck,s.l.,1561
01-1753,4°,S 10214,Allgemeiner Druck,s.l.,1560
01-1486,4°,G 1883,Antikatholisch,s.l.,1547
01-1901,8°,R 2246,Antikatholisch,s.l.,1561
01-1292,4°,ZV 11186,Antikatholisch / Adiaphoristischer Streit,s.l.,1550
01-0139,8°,S 10342,Antinomistischer Streit,s.l.,1569
01-0277,4°,M 5872,Antinomistischer Streit,s.l.,1566
01-0241,4°,E 3724,Diskussion FC,s.l.,1578
01-0245,4°,V 2402,Diskussion FC,s.l.,1578
01-0249,4°,ZV 9820,Diskussion FC,s.l.,1578
01-0257,4°,P 4510,Diskussion FC,s.l.,1579
01-0467,4°,E 1732,Diskussion FC,s.l.,1578
01-0468,4°,O 1484,Diskussion FC,s.l.,1578
01-0181,4°,S 7633,Erbsündenstreit,s.l.,1575
01-0254,8°,F 1408,Erbsündenstreit,s.l.,1578
01-1758,8°,F 1463,Erbsündenstreit,s.l.,1571
01-1759,4°,F 1276,Erbsündenstreit,s.l.,1572
01-1761,4°,ZV 5909,Erbsündenstreit,s.l.,1574
01-1762,8°,ZV 5910,Erbsündenstreit,s.l.,1574
01-1763,4°,F 1337,Erbsündenstreit,s.l.,1575
01-1840,8°,S 7617,Erbsündenstreit,s.l.,1575
01-1222,4°,W 2761,Majoristischer Streit,s.l.,1563
01-1811,4°,W 2756,Majoristischer Streit,s.l.,1568
01-1547,k. A.,vacat,nachschauen!!!,s.l.,1558
01-1021,8°,M 5873,Osiandrischer Streit,s.l.,1551
01-1078,4°,M 5881,Osiandrischer Streit,s.l.,1552
01-1392,4°,ZV 12192,Osiandrischer Streit,s.l.,1552
01-1436,4°,N 91,Osiandrischer Streit,s.l.,1552
01-1437,4°,P 837,Osiandrischer Streit,s.l.,1552
01-1750,8°,F 1402,Osiandrischer Streit,s.l.,1555
01-2019,8°,W 2558,Osiandrischer Streit,s.l.,1552
01-0570,4°,S 5016,Schwenckfeld,s.l.,1561
01-0571,4°,S 5072,Schwenckfeld,s.l.,1561
01-0614,4°,ZV 10554,Schwenckfeld,s.l.,1562
01-0630,4°,ZV 18,Schwenckfeld,s.l.,1562
01-0740,4°,M 1704,Schwenckfeld,s.l.,1557
01-0805,4°,S 4836,Schwenckfeld,s.l.,1559
01-2005,8°,C 5727,Schwenckfeld,s.l.,1575
01-1050,8°,S 5040,Schwenckfeld,s.l.,1561
01-1970,8°,S 4886,Schwenckfeld,s.l.,1558
01-1991,8°,ZV 3976,Schwenckfeld,s.l.,1550
01-0516,8°,E 4079,Synergistischer Streit,s.l.,1564
01-0517,4°,W 734,Synergistischer Streit,s.l.,1564
01-1838,8°,ZV 3796,Synergistischer Streit,s.l.,1561
01-0122,8°,O 1478,Synergistischer Streit / Erbsündenstreit,s.l.,1568
01-1214,4°,F 1353,Synergistischer Streit / Erbsündenstreit,s.l.,1563
